Nombre d'itérations;Pi;Time;nombre de processeur;Nombre de points dans le cercle;Error
10000000;3,142172;334ms;1;0;0,000184
10000000;3,141598;369ms;1;0;0,000002
10000000;3,142002;335ms;1;0;0,000130
10000000;3,142214;332ms;1;0;0,000198
10000000;3,140849;373ms;1;0;-0,000237
20000000;3,141472;336ms;2;0;-0,000038
20000000;3,141903;378ms;2;0;0,000099
20000000;3,141209;334ms;2;0;-0,000122
20000000;3,141333;365ms;2;0;-0,000083
20000000;3,141723;370ms;2;0;0,000041
40000000;3,142239;343ms;4;0;0,000206
40000000;3,141635;383ms;4;0;0,000013
40000000;3,141738;369ms;4;0;0,000046
40000000;3,140850;373ms;4;0;-0,000236
40000000;3,142235;332ms;4;0;0,000205
80000000;3,141686;393ms;8;0;0,000030
80000000;3,141737;437ms;8;0;0,000046
80000000;3,141236;516ms;8;0;-0,000114
80000000;3,141675;465ms;8;0;0,000026
80000000;3,141644;486ms;8;0;0,000016
160000000;3,141700;773ms;16;0;0,000034
160000000;3,141632;874ms;16;0;0,000013
160000000;3,141601;855ms;16;0;0,000003
160000000;3,141738;897ms;16;0;0,000046
160000000;3,141684;803ms;16;0;0,000029
