Nombre d'itérations;Pi;Time;nombre de processeur;Nombre de points dans le cercle;Error
1000000;3,143036;83ms;1;0;0,000459
1000000;3,144624;62ms;1;0;0,000965
1000000;3,140316;59ms;1;0;-0,000406
1000000;3,140184;59ms;1;0;-0,000448
1000000;3,140324;56ms;1;0;-0,000404
2000000;3,140820;98ms;2;0;-0,000246
2000000;3,140890;82ms;2;0;-0,000224
2000000;3,143698;64ms;2;0;0,000670
2000000;3,141596;60ms;2;0;0,000001
2000000;3,141524;59ms;2;0;-0,000022
4000000;3,141060;92ms;4;0;-0,000170
4000000;3,141859;77ms;4;0;0,000085
4000000;3,141481;64ms;4;0;-0,000036
4000000;3,140676;59ms;4;0;-0,000292
4000000;3,140335;63ms;4;0;-0,000400
8000000;3,142390;115ms;8;0;0,000254
8000000;3,141445;106ms;8;0;-0,000047
8000000;3,141338;101ms;8;0;-0,000081
8000000;3,141730;94ms;8;0;0,000044
8000000;3,141864;100ms;8;0;0,000086
16000000;3,141642;203ms;16;0;0,000016
16000000;3,141598;178ms;16;0;0,000002
16000000;3,141547;166ms;16;0;-0,000014
16000000;3,141573;231ms;16;0;-0,000006
16000000;3,141283;205ms;16;0;-0,000099
