Nombre d'itérations;Pi;Time;nombre de processeur;Nombre de points dans le cercle;Error
10000000;3,141764;329ms;1;0;0,000055
10000000;3,141386;375ms;1;0;-0,000066
10000000;3,141380;364ms;1;0;-0,000068
10000000;3,141825;330ms;1;0;0,000074
10000000;3,141796;334ms;1;0;0,000065
10000000;3,141418;179ms;2;0;-0,000055
10000000;3,142114;215ms;2;0;0,000166
10000000;3,140852;206ms;2;0;-0,000236
10000000;3,142743;205ms;2;0;0,000366
10000000;3,141479;172ms;2;0;-0,000036
10000000;3,142063;104ms;4;0;0,000150
10000000;3,142481;108ms;4;0;0,000283
10000000;3,142240;126ms;4;0;0,000206
10000000;3,141788;87ms;4;0;0,000062
10000000;3,141544;125ms;4;0;-0,000015
10000000;3,141877;71ms;8;0;0,000090
10000000;3,141419;92ms;8;0;-0,000055
10000000;3,142293;146ms;8;0;0,000223
10000000;3,141023;170ms;8;0;-0,000181
10000000;3,141154;178ms;8;0;-0,000140
10000000;3,141515;79ms;16;0;-0,000025
10000000;3,141597;86ms;16;0;0,000001
10000000;3,140722;167ms;16;0;-0,000277
10000000;3,142048;203ms;16;0;0,000145
10000000;3,141846;134ms;16;0;0,000081
