Nombre d'itérations;Pi;Time;nombre de processeur;Nombre de points dans le cercle;Error
1000000;3,141180;91ms;1;785295;-0,000131
1000000;3,141388;70ms;1;785347;-0,000065
1000000;3,143116;63ms;1;785779;0,000485
1000000;3,144080;114ms;1;786020;0,000792
1000000;3,142760;115ms;1;785690;0,000372
2000000;3,141454;183ms;2;1570727;-0,000044
2000000;3,143006;153ms;2;1571503;0,000450
2000000;3,141116;171ms;2;1570558;-0,000152
2000000;3,141108;378ms;2;1570554;-0,000154
2000000;3,140254;281ms;2;1570127;-0,000426
4000000;3,140863;379ms;4;3140863;-0,000232
4000000;3,142525;561ms;4;3142525;0,000297
4000000;3,141807;586ms;4;3141807;0,000068
4000000;3,141461;374ms;4;3141461;-0,000042
4000000;3,140809;269ms;4;3140809;-0,000249
8000000;3,141056;810ms;8;6282111;-0,000171
8000000;3,141383;1034ms;8;6282765;-0,000067
8000000;3,140223;2081ms;8;6280445;-0,000436
8000000;3,142084;1416ms;8;6284168;0,000156
8000000;3,141327;1617ms;8;6282653;-0,000085
16000000;3,141726;4877ms;16;12566903;0,000042
16000000;3,142088;3396ms;16;12568352;0,000158
16000000;3,141962;1524ms;16;12567849;0,000118
16000000;3,141472;1683ms;16;12565888;-0,000038
16000000;3,141263;1642ms;16;12565051;-0,000105
