Nombre d'itérations;Pi;Time;nombre de processeur;Nombre de points dans le cercle;Error
1000000;3,141072;234ms;1;785268;-0,000166
1000000;3,141648;179ms;1;785412;0,000018
1000000;3,141868;159ms;1;785467;0,000088
1000000;3,141764;174ms;1;785441;0,000055
1000000;3,141328;143ms;1;785332;-0,000084
2000000;3,140590;682ms;2;1570295;-0,000319
2000000;3,140834;529ms;2;1570417;-0,000241
2000000;3,141602;501ms;2;1570801;0,000003
2000000;3,142550;525ms;2;1571275;0,000305
2000000;3,140900;439ms;2;1570450;-0,000220
4000000;3,142298;1993ms;4;3142298;0,000225
4000000;3,141803;1905ms;4;3141803;0,000067
4000000;3,142592;1985ms;4;3142592;0,000318
4000000;3,143125;1925ms;4;3143125;0,000488
4000000;3,139269;1807ms;4;3139269;-0,000740
8000000;3,140908;4871ms;8;6281815;-0,000218
8000000;3,141469;4852ms;8;6282937;-0,000040
8000000;3,140192;4778ms;8;6280383;-0,000446
8000000;3,142430;4987ms;8;6284859;0,000266
8000000;3,141176;4688ms;8;6282352;-0,000133
16000000;3,141183;9330ms;16;12564731;-0,000130
16000000;3,141363;9731ms;16;12565451;-0,000073
16000000;3,141344;9813ms;16;12565374;-0,000079
16000000;3,142399;10006ms;16;12569597;0,000257
16000000;3,141781;9972ms;16;12567122;0,000060
