Nombre d'itérations;Pi;Time;nombre de processeur;Nombre de points dans le cercle;Error
1000000;3,141292;93ms;1;785323;-0,000096
1000000;3,141140;77ms;1;785285;-0,000144
1000000;3,142220;103ms;1;785555;0,000200
1000000;3,141360;129ms;1;785340;-0,000074
1000000;3,143096;122ms;1;785774;0,000479
1000000;3,141556;111ms;2;785389;-0,000012
1000000;3,140800;86ms;2;785200;-0,000252
1000000;3,141588;146ms;2;785397;-0,000001
1000000;3,141296;238ms;2;785324;-0,000094
1000000;3,142680;83ms;2;785670;0,000346
1000000;3,143412;109ms;4;785853;0,000579
1000000;3,142392;85ms;4;785598;0,000254
1000000;3,140888;313ms;4;785222;-0,000224
1000000;3,144956;88ms;4;786239;0,001071
1000000;3,139840;139ms;4;784960;-0,000558
1000000;3,141016;244ms;8;785254;-0,000184
1000000;3,144484;400ms;8;786121;0,000920
1000000;3,143244;442ms;8;785811;0,000526
1000000;3,142880;454ms;8;785720;0,000410
1000000;3,141020;447ms;8;785255;-0,000182
1000000;3,144340;328ms;16;786085;0,000875
1000000;3,140416;382ms;16;785104;-0,000375
1000000;3,140556;464ms;16;785139;-0,000330
1000000;3,141180;493ms;16;785295;-0,000131
1000000;3,142844;421ms;16;785711;0,000398
