Nombre d'itérations;Pi;Time;nombre de processeur;Nombre de points dans le cercle;Error
1000000;3,142008;259ms;1;785502;0,000132
1000000;3,139604;247ms;1;784901;-0,000633
1000000;3,144008;170ms;1;786002;0,000769
1000000;3,141480;164ms;1;785370;-0,000036
1000000;3,143700;139ms;1;785925;0,000671
1000000;3,142836;327ms;2;785709;0,000396
1000000;3,138828;221ms;2;784707;-0,000880
1000000;3,141796;264ms;2;785449;0,000065
1000000;3,141828;221ms;2;785457;0,000075
1000000;3,137512;204ms;2;784378;-0,001299
1000000;3,143048;514ms;4;785762;0,000463
1000000;3,139960;428ms;4;784990;-0,000520
1000000;3,140644;488ms;4;785161;-0,000302
1000000;3,142268;466ms;4;785567;0,000215
1000000;3,139700;485ms;4;784925;-0,000602
1000000;3,144440;631ms;8;786110;0,000906
1000000;3,140096;500ms;8;785024;-0,000476
1000000;3,141328;570ms;8;785332;-0,000084
1000000;3,143312;543ms;8;785828;0,000547
1000000;3,140812;522ms;8;785203;-0,000248
1000000;3,140232;558ms;16;785058;-0,000433
1000000;3,142924;503ms;16;785731;0,000424
1000000;3,140252;573ms;16;785063;-0,000427
1000000;3,140216;553ms;16;785054;-0,000438
1000000;3,142196;482ms;16;785549;0,000192
